,,,,,,Key Dates,,,,,,,,,,,,,,,,,,,,,PRIMARY ADDRESS,,,,,,,,MAILING ADDRESS,,,,,,,,OTHER ADDRESSES,,,STAGE,,System Tags (Select Y if applies),,,,,,,,,,Custom Tags,Notes,,,SOCIAL MEDIA,,,,,,,,CUSTOM FIELDS,
First Name,Middle Name,Last Name,Prefix,Suffix,Full Legal Name,Birthday,Home Anniversary,About,Primary personal phone,Primary work phone,Primary other phone,Primary home phone,Primary cell phone,Primary mobile phone,Others personal phone,Others work phone,Others other phone,Others home phone,Others cell phone,Others mobile phone,Primary personal email,Primary work email,Primary other email,Others personal email,Others work email,Others other email,Address line 1,Address line 2,City,County,State,Country,Zip code,Label,Address line 1,Address line 2,City,County,State,Country,Zip code,Label,Other Addresses,Company name,Title,Qualified/Captured/Connected,System Tags,Buyer,Seller,Bought,Sold,Agent,KW Agent,Allied Resource,Talent,Referral Partner,Downline,Tags,Notes,Source,Other Source,Facebook,Twitter,Linkedin,Google+,Pinterest,Instagram,Houzz,is_lead,Networking,Referral from Sphere
Kaz,,Brekker,,,Kaz Brekker,,,,,,,,,15551234567,,,,,,,kazbrekker@crookedkingdom.com,,,,,,123 Hide Out Lane,4,The Dregs,,IL,US,11111,HOME,123 Hide Out Lane,4,The Dregs,,IL,US,11111,HOME,,,,,,,,,,,,,,,,"friend, met, Renter, N&R, Peloton2023, Terrariumevent2023","Do you plan on buying or selling  a home soon? - Yes, one day",Sphere,,,,,,,,,NO,,
Barney,,Stinson,,,Barney Stinson,,,,,,,,,14915550937,,,,,,,bstinson@goliathnb.com,,,,,,111 Bachelor Pad Lane,5050,New York City,,NY,US,90431,HOME,111 Bachelor Pad Lane,5050,New York City,,NY,US,90431,HOME,,,,,,,,,,,,,,,,"Renter, met",,Referrals,,,,,,,,,NO,,
Winnie,The,Pooh,,,Winnie The Pooh,,,,,,,,,18135550293,,,,,,,winniethepooh@disney.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"met, Renter",,,,,,,,,,,NO,,
Captain,,Hook,,,Captain Hook,,,"referral, arrrgh, pirates!",,,,,,19995554444,,,,,,,captainhook@arrrrgh.com,,,,,,123 Jolly Rogers,,Never Neverland,,UN,US,12345,HOME,123 Jolly Rogers,,Never Neverland,,UN,US,12345,HOME,,,,,,,,,,,,,,,,,to say hi,Referrals,,,,,,,,,NO,,
Maleficent,The,Dragon,,,Maleficent The Dragon,,,met at rental in OCt 2021,,,,,,,,,,,,,mistressofevil@disney.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renter,,,,,,,,,,,NO,,
Cruella,De,Ville,,,Cruella De Ville,,,referral,11234445231,,,,,,,,,,,,cruellafashionista@disney.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D&O,,Referrals,,,,,,,,,NO,,
Ursula,,Sea Witch,,,Ursula Sea Witch,,,recommended,198712398564,,,,,,,,,,,,queenofthesea@disney.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,
Gudetama,Lazy,Egg,,,Guedtama Lazy Egg,,,recommended. wants to invest and or flip properties. Did a buyer consult in 2022,17453859485,,,,,,,,,,,,gudetama@sanrio.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,
